,alpha,beta,delta_m,lam,lamb,mmin,mpp,mu_chi,mu_spin,sigma_chi,sigma_spin,sigpp,xi_spin
0,3.8777356,1.6413889,4.5501637,0.012784926,5.0011883,5.86069,32.946407,0.10080851,0.14539623,0.30539528,0.28242162,1.5867417,0.925053
1,3.483172,0.61325693,3.807355,0.029154766,4.027196,5.5476656,34.518585,0.10475633,0.08902967,0.2783791,0.32572448,3.8729424,0.8081719
2,3.6692376,0.8172126,6.5307884,0.013279746,3.8153162,4.459099,31.608047,0.16096151,0.17520213,0.252736,0.28145993,2.0392718,0.8589636
3,3.7363415,-0.15775394,4.8278956,0.018865626,5.0506535,5.6512823,33.84365,0.13594702,0.11742604,0.2819633,0.25672635,2.5077772,0.99526805
4,3.9136486,0.9513414,3.4958405,0.022623215,4.825598,5.6834836,35.111057,0.12782031,0.118480444,0.21445511,0.2354672,2.2394273,0.9970481
5,3.6309285,0.4548421,4.5625353,0.019168606,4.706417,5.431836,32.7742,0.12735185,0.14825082,0.22893253,0.3487746,2.1574886,0.98043174
6,3.869172,0.5451758,4.590621,0.020173147,4.7804747,5.228885,33.91399,0.11767043,0.21160364,0.34056747,0.3912111,3.3822427,0.99189395
7,3.5812573,0.6070559,5.326201,0.025470372,4.6060705,5.1395187,32.571686,0.16430768,0.14344025,0.19506384,0.34151924,3.755292,0.77573615
8,3.5619798,0.59147644,4.3803263,0.032546055,3.9901056,5.6433945,32.16443,0.21260256,0.10051012,0.25532854,0.32893646,4.7382336,0.87424237
9,3.5620904,0.9300742,3.7596982,0.031959854,3.7364826,5.501788,35.34173,0.162157,0.108214974,0.20826158,0.33135688,2.0895739,0.99319386
10,3.6179314,-0.26590848,3.6423912,0.03683601,4.118288,5.9189982,33.464413,0.12709409,0.18039048,0.17897692,0.4197536,3.8561208,0.92493373
11,3.5997405,-0.33375788,3.2904632,0.037367057,4.0532,5.8955593,32.549446,0.13371995,0.16262901,0.19057105,0.35023436,3.7883706,0.91649175
12,3.5718188,1.2166417,4.296915,0.03920522,4.446045,5.7507496,33.02678,0.16699417,0.06772041,0.26619577,0.24741328,4.5459237,0.8892474
13,3.1955576,-0.18049216,4.8382163,0.030282153,4.119911,5.2548437,36.40377,0.12891114,0.09012306,0.25881866,0.42622137,2.7921343,0.6135054
14,3.9579968,2.117032,6.405749,0.01915677,4.483613,5.201641,32.01568,0.20975673,0.16957533,0.21389514,0.252354,4.128448,0.99484843
15,3.774146,2.2428122,3.3551478,0.010704655,4.6151495,5.866934,32.667637,0.21954843,0.12333596,0.18263608,0.46312147,2.981277,0.79265714
16,4.031502,0.49029565,4.6252823,0.02385489,4.7814837,5.4510307,33.749756,0.18328838,0.043435216,0.23990393,0.25710586,2.4617996,0.9323479
17,3.4953313,1.1807742,4.8137646,0.025312092,3.6138296,5.525407,34.540024,0.18090609,0.07520449,0.27494875,0.35618842,4.8916335,0.62930393
18,3.8617134,0.212327,4.030849,0.016196739,5.3226137,5.032109,34.083607,0.24413282,0.16153014,0.19544016,0.35978758,1.5168424,0.9849576
19,3.7080579,1.3210306,2.8654451,0.039807923,3.7679682,5.991913,31.764019,0.2133654,0.1791035,0.23724005,0.24301322,4.4309807,0.58838314
20,3.919951,0.27986455,6.408049,0.013387148,4.9602947,4.215741,34.002117,0.13526107,0.050949097,0.270823,0.2928719,2.4359841,0.9258792
21,3.6942325,0.7707298,4.9606514,0.022420194,4.961025,4.464452,32.65032,0.12241873,0.07318795,0.26605317,0.44541287,4.2957726,0.78765833
22,3.6671224,0.70357394,2.9066858,0.02118669,4.0824776,5.8293886,32.649918,0.17056884,0.2058388,0.23337898,0.30271518,2.5886307,0.93013614
23,3.84975,0.9885323,6.2807465,0.01682845,5.1533813,4.916583,34.049255,0.118771516,0.035171866,0.22827038,0.29143074,4.0694103,0.7394966
24,3.8889494,1.0548782,6.749922,0.020014629,5.3073845,4.7959447,32.299156,0.117441125,0.04676068,0.22957724,0.35904968,3.8874638,0.7981329
25,3.669014,0.6859553,4.4327536,0.020172846,3.891387,5.0232353,33.382618,0.11149347,0.18704176,0.36668468,0.25061625,1.4773859,0.93284917
26,3.8288846,0.8585851,4.2716966,0.02097123,4.5509872,5.2043524,32.206764,0.17321122,0.0907805,0.21725085,0.39922667,4.199142,0.84793174
27,3.7883701,0.9482231,4.7314587,0.020656921,4.7571573,5.5561876,34.132816,0.13642627,0.24549294,0.17932095,0.29186007,3.3231225,0.7106034
28,3.8061047,0.8886702,5.0996056,0.019429384,4.3814297,5.004894,33.502422,0.11906387,0.004998803,0.244827,0.44183564,3.025812,0.93785816
29,3.9836607,1.2298028,7.2374,0.008453257,5.4160557,4.41492,33.747795,0.22635761,0.041203976,0.21311659,0.32682058,2.0899897,0.6562936
30,3.9211025,1.4102387,5.4149327,0.0076840906,4.802206,4.4435816,32.658936,0.13842456,0.1671592,0.28211617,0.30518502,1.9051578,0.9531486
31,3.5762792,0.31977272,4.6368914,0.024336621,5.3946695,5.2734404,32.453945,0.22392988,0.087221384,0.17294708,0.2437658,2.978961,0.7963971
32,3.8626852,-0.13358295,4.351762,0.0149816265,5.2778673,5.462878,34.379246,0.24751678,0.16763091,0.15277953,0.39964396,3.107544,0.93355334
33,3.5720353,2.0945587,4.4327445,0.019757818,3.7428455,5.424073,33.14036,0.2346088,0.053499103,0.24419445,0.30561346,1.0519537,0.55706435
34,3.7711368,1.1491325,5.14568,0.014683469,4.437194,5.1260405,33.620815,0.10897133,0.1146431,0.31006444,0.30190778,5.937315,0.9563164
35,3.841529,0.5469749,6.2306347,0.015051617,4.960827,4.5249033,33.070087,0.11393433,0.059820652,0.3168794,0.419473,2.5436382,0.7722005
36,3.7200265,0.6352067,6.400362,0.012360064,5.0351276,4.767319,34.033623,0.10784311,0.075351834,0.28787306,0.3087955,2.7044234,0.8009889
37,3.8033237,1.5566573,4.6302032,0.021263933,4.9580564,5.623829,32.397972,0.10160725,0.173805,0.31138754,0.32859117,4.703603,0.9231611
38,3.7353082,1.1720879,5.2303023,0.025620239,5.463621,5.3422484,33.749214,0.10182421,0.15070379,0.26951736,0.24874987,3.8408656,0.92661005
39,3.3381433,1.4408414,3.8196058,0.027731936,4.173849,5.480047,31.799767,0.16523233,0.19701517,0.31621704,0.489317,2.5120015,0.8471238
40,3.836522,0.917809,4.0858755,0.024275271,4.1852865,5.669561,34.617428,0.11009146,0.23158896,0.31446305,0.31769982,4.2317457,0.7725404
41,3.3767743,1.8973184,5.597107,0.013156234,4.2059784,4.4675026,33.724804,0.18012384,0.027356982,0.24516946,0.31589642,1.4299763,0.93912286
42,3.8725486,0.37735987,7.971442,0.018887555,3.7122974,4.407688,33.50063,0.1654864,0.23760688,0.2555075,0.33037567,4.1807785,0.870981
43,3.9396396,1.1503077,8.646811,0.0034620217,4.9283752,3.6333747,31.841019,0.11051735,0.009994626,0.24063805,0.25720823,1.7215713,0.64053303
44,3.8801417,2.0099072,5.887153,0.013494746,3.8389149,4.673048,33.680878,0.1501837,0.26018608,0.30753472,0.41152418,3.4521863,0.9643965
45,4.0495853,0.11120105,5.3124266,0.012296546,5.179349,5.426587,33.946045,0.20743747,0.030661106,0.23289895,0.27417475,1.2855217,0.83088684
46,3.804903,0.2705419,6.175956,0.01995036,4.8596573,5.0864177,34.086216,0.13738188,0.14322579,0.25917193,0.33936507,1.7872642,0.84463954
47,3.5449743,0.944958,5.0644617,0.016184343,3.8493366,4.9176903,34.34837,0.198479,0.2050929,0.23926556,0.30379078,4.2892804,0.784328
48,3.5615425,0.4030795,4.525397,0.032535195,4.042946,5.3287477,33.537888,0.123617105,0.19725645,0.18999583,0.21344435,2.256892,0.67527986
49,3.5816717,0.049506187,5.338579,0.021179264,4.5108805,4.9896865,35.344822,0.18085423,0.19284964,0.20480385,0.23980306,3.9040325,0.6418667
50,3.9400845,1.9831626,3.0227616,0.030008385,5.3632317,5.832078,33.12516,0.13727748,0.13920593,0.27568966,0.23155776,3.9172952,0.90725684
51,4.0241127,2.5256677,6.8900146,0.023188401,4.136338,4.397697,30.866947,0.1208962,0.103111744,0.30742732,0.21160077,5.086159,0.65612847
52,3.9457836,0.049599886,4.7959003,0.010678151,5.419875,4.9909735,30.689632,0.15357754,0.055914044,0.31657794,0.21961467,8.882141,0.8129183
53,3.5582561,1.3435471,3.6359248,0.07548561,4.9042807,5.5082884,24.993547,0.23915699,0.19798183,0.18657178,0.6691499,9.571576,0.8370708
54,5.3590593,1.481811,6.6951523,0.0074255564,5.1870775,4.7864285,30.326626,0.11193569,0.10879886,0.3114224,0.20221442,8.083557,0.6668876
55,5.6181984,1.038671,7.0027294,0.011824592,5.025282,5.5343785,31.182077,0.17733915,0.12251127,0.25488725,0.20285517,9.559726,0.6322305
56,4.243458,2.0756025,7.7938623,0.013604849,4.943591,4.4415994,29.408398,0.118070185,0.16205132,0.2929038,0.3419913,9.580213,0.9095048
57,4.1030064,1.5637493,4.1402383,0.041548334,5.0440073,5.635234,26.859966,0.14657563,0.09039998,0.28740245,0.32688516,8.045564,0.9863762
